Prediction (Amy),Prediction (Bella),Prediction (Colleen),Prediction (Fizz),Prediction (Holly),Prediction (Ister),Prediction (Liboulen),Prediction (Linestra),Prediction (Ziqual),Succeeded?
99,10,85.6,47,60,53,99.7,83.9,6,0
99,16,80.9,62,61,53,88.7,79.2,17,1
99,9,77.1,45,64,52,82.7,75.4,18,1
1,6,54.9,63,65,57,62.7,53.2,42,0
1,12,76.7,64,72,58,82.7,75,40,0
1,8,61.5,62,64,58,67.7,59.8,39,1
1,11,68.5,50,60,58,70.7,66.8,56,0
1,15,92.3,53,67,60,94.7,90.4,79,1
99,11,78,58,74,55,74.7,76.3,45,1
1,12,73.5,62,67,58,76.7,71.8,56,1
1,16,81.4,62,67,53,78.7,79.7,9,1
1,8,56.9,61,60,60,70.7,55.2,59,1
1,11,70.7,56,55,56,76.7,69,29,1
1,6,59.9,55,50,56,64.7,58.2,23,1
1,14,74.4,54,69,60,88.7,72.7,50,1
1,8,71.3,55,63,59,71.7,69.6,36,1
1,7,72.3,60,67,57,78.7,70.6,62,1
1,0,73.1,66,67,57,83.7,71.4,69,1
1,0,75.1,66,70,60,77.7,73.4,70,1
1,0,66.9,61,60,60,83.7,65.2,59,1
99,0,59.4,55,66,54,50.7,57.7,28,0
99,6,62.3,53,60,60,75.7,60.6,19,0
1,16,76.4,67,65,56,86.7,74.7,0,1
99,18,90.7,57,63,52,84.7,89,0,1
1,13,70.4,54,62,56,73.7,68.7,0,0
1,14,83.6,50,60,53,77.7,81.9,0,1
1,12,83.1,49,64,58,85.7,81.4,0,1
1,18,80.8,56,68,56,80.7,79.1,18,0
99,11,61.3,54,60,54,57.7,59.6,12,0
1,8,59.1,66,70,57,61.7,57.4,56,1
99,12,64.7,62,65,59,52.7,63,81,1
1,15,90.1,61,75,56,93.7,88.4,41,1
1,8,47.9,54,54,57,46.7,46.2,34,1
1,10,63.8,61,61,60,80.7,62.1,100,1
99,13,70.5,60,68,53,63.7,68.8,24,0
99,16,78.8,54,70,55,82.7,77.1,35,1
1,15,69.9,62,67,60,85.7,68.2,70,1
1,13,75.5,54,52,53,85.7,73.8,9,0
99,0,73.2,68,77,59,79.7,71.5,90,1
1,10,57.2,59,63,60,57.7,55.5,100,1
99,8,66.7,51,61,52,59.7,65,12,1
1,14,78.4,57,69,59,80.7,76.7,71,1
1,3,51.1,55,50,56,50.7,49.4,36,1
99,9,62.6,60,69,55,61.7,60.9,44,1
99,8,74,65,68,56,77.7,72.3,23,1
1,8,64.7,52,59,53,58.7,63,12,0
1,7,49,47,50,56,58.7,47.3,23,0
1,16,85.7,62,71,53,90.7,84,20,1
1,11,63.1,47,48,52,73.7,61.4,15,0
1,8,74.5,68,76,59,77.7,72.8,90,1
1,13,85.3,62,66,55,84.7,83.6,29,1
1,17,87.1,50,73,55,79.7,85.4,45,1
1,13,75.5,61,66,59,80.7,73.8,18,1
1,6,57.4,57,58,56,63.7,55.7,24,0
99,14,78.4,60,69,60,75.7,76.7,49,1
1,8,51.9,58,58,52,43.7,50.2,2,0
1,6,57.2,59,57,54,58.7,55.5,15,0
99,16,64.2,57,69,60,66.7,62.5,40,1
99,10,80.7,63,65,57,87.7,79,42,1
1,10,83.7,66,69,57,93.7,82,35,1
1,12,76.9,58,69,55,87.7,75.2,40,0
1,18,83,51,66,54,86.7,81.3,28,1
1,10,75.8,53,61,56,90.7,74.1,35,0
99,5,43.5,58,56,57,54.7,41.8,63,0
99,9,68.4,58,58,54,78.7,66.7,4,0
99,14,81.5,58,62,53,86.7,79.8,15,1
99,13,68.5,61,63,56,67.7,66.8,54,1
99,13,79.9,58,63,60,82.7,78.2,30,1
99,12,52.8,62,65,59,52.7,51.1,89,0
1,8,59.2,58,52,55,76.7,57.5,15,1
1,14,64.3,66,70,57,74.7,62.6,69,1
99,12,57.7,65,71,58,49.7,56,64,1
1,18,83.3,63,74,54,81.7,81.6,16,1
1,13,77,68,74,59,76.7,75.3,81,1
1,8,56.7,60,59,56,65.7,55,6,1
99,18,91.3,48,62,53,84.7,89.6,21,0
99,7,57.9,50,59,57,52.7,56.2,70,1
1,16,88.8,51,70,56,91.7,87.1,35,0
99,10,72,52,56,55,83.7,70.3,35,1
99,10,67.2,52,66,57,76.7,65.5,63,1
1,17,84.3,53,63,56,88.7,82.6,41,0
99,19,94.2,49,68,56,89.7,92.3,41,1
1,11,61.3,52,63,57,62.7,59.6,70,0
99,13,74.7,63,76,58,65.7,73,31,0
99,10,74.3,46,59,58,74.7,72.6,24,1
99,13,82.8,62,66,59,88.7,81.1,63,1
99,9,61,67,68,58,65.7,59.3,79,1
1,12,66.3,66,64,60,73.7,64.6,69,1
1,11,60.8,48,51,51,72.7,59.1,3,0
99,12,73.8,69,70,59,76.7,72.1,72,1
1,9,56.2,56,54,58,63.7,54.5,24,0
1,12,83.3,52,69,59,90.7,81.6,26,1
1,10,59.2,60,65,57,53.7,57.5,35,1
1,14,71.2,58,63,55,72.7,69.5,25,0
1,5,65.8,58,64,59,68.7,64.1,9,0
99,9,60.6,60,58,57,60.7,58.9,56,0
1,10,71.2,55,63,57,73.7,69.5,27,0
1,16,83.7,55,68,54,79.7,82,23,1
1,12,64.7,49,65,59,52.7,63,17,1
1,14,64.6,60,67,57,74.7,62.9,55,1
1,8,52.4,48,46,53,48.7,50.7,9,0
1,9,58.5,46,42,51,69.7,56.8,5,0
99,16,92.8,59,68,57,93.7,90.9,41,0
99,13,77.4,56,66,55,76.7,75.7,34,0
99,11,70.1,47,58,52,71.7,68.4,15,0
1,11,70.8,57,61,56,71.7,69.1,35,1
99,15,79.8,57,70,56,84.7,78.1,47,0
99,13,69.8,55,68,57,58.7,68.1,42,0
1,12,79,46,53,51,78.7,77.3,3,0
1,11,56,67,69,58,60.7,54.3,72,1
1,15,77.6,55,69,54,73.7,75.9,23,1
99,6,62.4,51,61,57,65.7,60.7,42,1
99,14,78.4,65,71,56,90.7,76.7,41,1
99,4,44.8,56,52,55,56.7,43.1,14,1
1,10,71.9,61,58,56,78.7,70.2,23,1
1,16,78.2,66,74,55,87.7,76.5,49,1
99,9,70.6,52,61,53,74.7,68.9,12,0
1,12,64.7,55,59,56,57.7,63,47,1
99,5,38.7,57,52,58,47.7,37,79,0
1,17,91.5,58,64,57,91.7,89.8,7,1
99,19,94.2,50,64,55,89.7,92.3,29,1
1,7,53.1,56,59,56,60.7,51.4,29,1
1,11,61,66,70,58,62.7,59.3,55,0
99,10,57.6,52,55,53,52.7,55.9,23,1
1,13,55.5,52,53,56,52.7,53.8,17,1
1,9,60.6,47,53,54,60.7,58.9,24,0
1,3,42.1,59,51,54,56.7,40.4,24,0
99,6,52.7,55,50,54,61.7,51,20,1
99,8,62.5,51,57,52,67.7,60.8,10,1
1,13,70.7,55,61,52,78.7,69,18,1
1,10,69.7,57,66,56,77.7,68,36,0
99,11,77.5,62,61,56,89.7,75.8,6,1
1,11,72.7,49,66,60,77.7,71,59,1
1,0,43.2,56,49,55,53.7,41.5,34,0
1,0,71.1,50,56,57,79.7,69.4,48,0
1,12,66.3,59,60,55,53.7,64.6,20,1
1,8,66.3,65,69,59,79.7,64.6,53,1
99,7,58.5,53,52,54,57.7,56.8,32,1
1,9,53.4,63,58,54,57.7,51.7,28,1
99,11,84.4,62,60,52,92.7,82.7,2,1
99,11,65.7,57,52,54,79.7,64,20,1
1,9,63.3,61,66,59,86.7,61.6,72,1
1,14,83.6,58,69,58,92.7,81.9,23,1
1,7,56,52,52,53,56.7,54.3,23,1
99,7,66,62,63,59,75.7,64.3,62,1
99,12,68.8,57,60,54,74.7,67.1,27,1
99,7,50.9,59,64,60,54.7,49.2,39,1
1,11,82.6,65,68,56,86.7,80.9,54,0
1,5,48.6,67,54,58,61.7,46.9,47,1
1,11,63.3,56,58,56,83.7,61.6,29,0
1,13,77.3,67,69,56,86.7,75.6,41,0
99,9,56.3,46,52,54,63.7,54.6,4,1
1,13,67.6,54,67,58,62.7,65.9,39,1
1,13,80,65,81,59,72.7,78.3,72,1
1,11,75.2,59,66,59,73.7,73.5,18,0
1,8,59.2,63,58,59,61.7,57.5,35,1
1,12,80.8,63,76,60,89.7,79.1,40,0
99,16,88.8,58,69,59,91.7,87.1,27,1
1,6,64.4,52,62,58,71.7,62.7,40,0
99,8,64.5,60,57,57,78.7,62.8,35,0
1,13,75.3,51,67,59,60.7,73.6,54,1
99,10,62.1,62,64,55,84.7,60.4,49,1
1,15,72.6,63,73,60,71.7,70.9,80,1
1,17,72.2,55,60,60,83.7,70.5,40,1
1,12,68.6,67,63,59,89.7,66.9,71,1
99,13,77.8,58,64,57,71.7,76.1,34,1
1,9,51.4,69,63,58,41.7,49.7,71,1
99,11,65.3,67,66,58,84.7,63.6,48,1
99,17,77.6,53,57,54,75.7,75.9,8,1
1,13,75.1,64,66,60,90.7,73.4,29,1
1,5,53.7,59,58,55,63.7,52,19,1
1,7,68.4,63,70,59,66.7,66.7,36,0
1,15,0,63,67,54,78.7,75.9,39,1
99,8,0,56,59,55,51.7,58.2,50,1
1,15,0,62,75,57,89.7,78.3,70,1
1,16,78.8,52,64,51,77.7,77.1,7,1
1,12,73.9,59,70,56,71.7,72.2,36,0
1,10,71.2,58,62,53,73.7,69.5,27,0
1,7,56.3,60,55,51,51.7,54.6,6,0
99,9,77.8,64,74,60,92.7,76.1,70,1
1,11,85.2,49,55,55,97.7,83.5,20,1
1,16,83.4,56,73,57,79.7,81.7,49,1
99,6,44.7,64,56,57,48.7,43,48,1
1,16,76.5,52,58,53,81.7,74.8,3,0
1,7,63.5,67,61,56,69.7,61.8,36,0
1,13,75.2,48,63,51,65.7,73.5,6,0
99,13,72.4,57,64,52,69.7,70.7,4,1
1,12,52.6,66,65,58,47.7,50.9,39,1
1,7,54.1,52,55,57,50.7,52.4,34,1
99,13,79.5,56,65,55,87.7,77.8,15,1
1,16,75.8,65,65,54,86.7,74.1,24,1
1,13,50,64,60,56,77.7,0,30,1
1,9,50,64,67,53,71.7,0,30,1
99,12,50,59,57,52,86.7,0,4,0
1,9,50,60,69,60,84.7,0,49,1
1,9,50,62,74,58,64.7,0,56,1
1,14,68.9,53,59,57,86.7,67.2,41,1
1,15,63.5,51,56,56,67.7,61.8,24,0
99,9,62.8,56,65,57,61.7,61.1,56,0
99,6,49.9,60,60,57,60.7,48.2,20,0
1,10,64.3,55,55,57,75.7,62.6,27,0
1,9,65.8,69,73,60,52.7,64.1,100,0
99,15,84.9,53,64,59,81.7,83.2,36,1
1,12,72.1,65,70,57,65.7,70.4,28,0
99,10,73.7,48,61,57,79.7,72,7,1
99,11,73.1,49,62,55,62.7,71.4,10,0
1,13,75.6,62,66,55,90.7,73.9,39,0
99,11,80.4,54,66,60,95.7,78.7,29,1
99,12,69.3,64,58,55,74.7,67.6,14,1
99,16,76.1,59,71,57,71.7,74.4,27,1
1,17,77.4,67,69,56,75.7,75.7,42,1
99,3,51.6,53,53,54,55.7,49.9,16,1
1,4,49.9,70,66,60,58.7,48.2,89,0
1,11,68,60,68,60,75.7,66.3,50,1
99,5,41.8,57,48,59,53.7,40.1,18,1
99,5,53.1,56,54,51,48.7,51.4,8,0
1,6,66.7,54,63,55,67.7,65,45,1
99,13,70.8,61,60,57,83.7,69.1,42,1
1,8,56.6,67,72,56,45.7,54.9,47,1
99,8,60.1,66,59,57,76.7,58.4,56,1
1,8,56.9,65,66,59,65.7,55.2,53,1
1,18,85.5,65,82,60,87.7,83.8,60,1
1,12,73.6,65,74,60,66.7,71.9,99,1
99,11,68.3,54,62,55,65.7,66.6,40,1
1,12,66.3,58,62,58,78.7,64.6,40,1
99,16,88.8,49,59,52,91.7,87.1,8,1
99,15,77.1,65,70,58,78.7,75.4,32,1
99,10,55.3,58,51,51,56.7,53.6,6,1
1,8,75.8,61,56,54,83.7,74.1,8,1
99,7,63,64,61,59,69.7,61.3,62,1
99,4,54.4,56,63,53,0,52.7,23,1
99,6,56.8,62,64,57,0,55.1,49,1
1,19,85.2,48,69,53,0,83.5,20,1
1,5,60.4,55,53,56,71.7,58.7,48,1
1,7,60.3,58,51,53,73.7,58.6,9,0
1,6,52.7,57,58,56,51.7,51,35,1
99,10,76.2,48,49,51,80.7,74.5,2,1
1,14,71.4,59,68,56,62.7,69.7,12,1
99,12,76.5,53,63,56,67.7,74.8,36,1
99,12,73.6,59,72,58,76.7,71.9,48,1
1,11,51,59,64,59,43.7,49.3,35,1
1,14,86.5,55,64,54,93.7,84.8,39,1
0,14,75.8,52,61,57,79.7,74.1,48,1
0,13,75.3,64,66,53,80.7,73.6,14,1
1,17,86.6,50,73,55,84.7,84.9,49,1
99,8,59.8,64,56,53,76.7,58.1,17,1
1,6,47.8,51,45,52,49.7,46.1,4,0
1,4,52.4,58,56,59,49.7,50.7,80,1
99,5,55.7,55,51,54,64.7,54,20,1
1,13,72.6,61,61,56,59.7,70.9,12,1
99,9,60.5,53,56,54,65.7,58.8,8,1
99,10,76.7,59,63,52,75.7,75,12,1
1,15,75.4,61,63,58,77.7,73.7,31,1
1,19,92.2,54,67,53,88.7,90.3,24,1
1,10,61.5,55,66,60,54.7,59.8,59,0
1,18,81.1,57,76,60,80.7,79.4,60,1
1,10,71.1,65,72,60,73.7,69.4,59,1
1,8,61.8,58,54,55,62.7,60.1,15,0
99,14,74.2,60,70,57,78.7,72.5,35,0
99,13,56.3,70,75,59,57.7,54.6,90,1
99,6,44.9,48,48,56,43.7,43.2,29,0
1,15,77.1,57,72,54,68.7,75.4,24,1
1,8,47.4,56,62,53,46.7,45.7,26,0
99,11,67.4,54,62,54,70.7,65.7,12,0
1,16,76.3,61,69,52,86.7,74.6,14,1
1,13,73.2,64,76,57,59.7,71.5,70,1
1,11,65.5,55,49,54,89.7,63.8,16,0
1,14,83.2,61,77,60,92.7,81.5,59,1
99,15,72.9,52,64,56,76.7,71.2,29,0
1,8,59.8,67,67,58,66.7,58.1,47,1
99,9,62.7,52,59,57,66.7,61,63,1
1,14,79.1,54,68,56,85.7,77.4,30,0
99,14,78.8,55,68,54,70.7,77.1,15,1
1,10,83.9,51,68,56,93.7,82.2,41,1
1,12,78.9,66,70,55,78.7,77.2,29,1
1,15,63.5,57,61,54,67.7,61.8,27,0
99,14,73.5,52,65,57,73.7,71.8,20,1
1,11,60.8,57,63,52,57.7,59.1,10,1
1,16,71.2,57,58,54,84.7,69.5,20,0
99,8,62.4,56,64,53,57.7,60.7,17,0
1,14,76.6,59,64,52,74.7,74.9,14,1
1,7,63.2,56,64,60,74.7,61.5,30,1
1,15,79.9,58,72,55,74.7,78.2,39,1
1,3,48.2,58,44,51,59.7,46.5,1,0
1,9,65.7,58,57,59,77.7,64,27,0
1,7,53.7,46,46,53,60.7,52,23,0
1,15,82.3,54,62,55,85.7,80.6,25,1
1,19,92.3,62,74,53,88.7,90.4,18,1
99,12,73.9,56,64,55,76.7,72.2,30,0
1,9,77.4,54,61,51,82.7,75.7,8,1
99,13,75.3,54,59,53,65.7,73.6,17,0
1,8,54.6,59,61,57,59.7,52.9,27,0
1,8,61.9,64,65,57,72.7,60.2,35,1
99,10,56.8,66,66,60,57.7,55.1,89,0
0,17,85.2,54,70,57,83.7,83.5,69,1
1,10,54.5,51,57,56,51.7,52.8,42,1
1,13,68.4,67,72,58,67.7,66.7,71,1
1,10,59,61,68,54,58.7,57.3,31,0
1,10,61.5,58,65,58,69.7,59.8,23,1
99,11,69.9,61,62,57,66.7,68.2,41,1
99,7,49.1,53,53,58,58.7,47.4,71,0
1,18,96.2,60,79,58,91.7,94.3,56,1
1,10,69.7,54,54,53,87.7,68,9,0
1,11,65,56,62,55,79.7,63.3,25,1
99,5,55.6,53,59,59,64.7,53.9,17,1
1,13,65.9,62,63,59,81.7,64.2,90,1
99,4,59.7,53,52,56,62.7,58,35,1
1,12,74.1,62,64,53,76.7,72.4,17,1
1,11,79.8,57,67,59,85.7,78.1,71,1
99,12,71.5,52,59,55,85.7,69.8,25,0
99,13,65.4,54,59,51,71.7,63.7,7,0
1,6,55,58,58,59,62.7,53.3,26,0
1,13,84.4,55,59,52,89.7,82.7,8,1
1,8,64.5,46,50,59,78.7,62.8,26,0
1,11,61.3,52,56,55,47.7,59.6,39,0
99,8,59.3,61,60,59,61.7,57.6,71,0
99,12,69.1,62,67,60,64.7,67.4,10,1
1,12,78.9,59,62,54,93.7,77.2,8,0
1,9,72.5,53,54,54,80.7,70.8,27,1
1,4,48.1,58,56,53,47.7,46.4,17,0
1,11,60.4,53,66,58,62.7,58.7,71,1
99,8,54.7,62,64,59,54.7,53,89,1
99,13,74.6,60,72,58,80.7,72.9,40,1
1,10,64.2,58,66,57,65.7,62.5,49,1
1,9,70.1,49,57,55,74.7,68.4,19,0
99,10,64.8,50,50,53,65.7,63.1,14,1
1,12,71.5,56,59,55,90.7,69.8,29,1
1,9,60.5,57,59,56,55.7,58.8,47,1
1,8,66.7,62,68,60,79.7,65,10,1
1,14,67.1,56,59,57,60.7,65.4,49,1
1,9,65.9,60,60,55,67.7,64.2,40,0
1,17,80,58,71,60,86.7,78.3,69,1
99,17,82.5,51,66,52,77.7,80.8,10,0
99,15,72.9,55,61,52,71.7,71.2,18,1
1,15,72.9,55,69,59,81.7,71.2,53,1
1,10,63.9,62,68,55,60.7,62.2,34,0
1,14,75.9,58,69,54,69.7,74.2,12,1
99,10,59,51,63,59,58.7,57.3,17,1
1,9,63.1,57,61,60,61.7,61.4,39,0
1,8,67.2,61,56,54,74.7,65.5,19,0
99,9,46.7,46,56,53,44.7,45,23,0
99,13,77.8,60,61,54,81.7,76.1,12,0
99,7,58.5,61,60,57,47.7,56.8,41,0
1,15,84.9,63,69,55,81.7,83.2,19,1
1,11,62.9,54,59,55,53.7,61.2,34,1
99,6,45.2,65,67,60,53.7,43.5,80,1
1,16,90.6,62,79,60,92.7,88.9,50,1
1,12,74.3,62,60,54,76.7,72.6,4,1
1,14,69.3,61,65,56,76.7,67.6,41,1
1,6,51.9,54,56,55,61.7,50.2,50,1
99,7,41.5,51,51,54,45.7,39.8,8,0
1,11,72.6,57,61,58,82.7,70.9,71,0
1,13,56.1,49,47,54,57.7,54.4,19,0
99,12,72,46,51,51,80.7,70.3,3,0
1,15,70.1,61,61,54,70.7,68.4,16,1
1,9,65,57,64,54,72.7,63.3,23,0
1,6,47.1,57,56,60,49.7,45.4,40,0
99,8,62.2,66,69,58,62.7,60.5,40,1
1,9,58.7,54,53,55,64.7,57,35,1
1,8,59.5,56,52,53,76.7,57.8,14,1
99,12,73.6,55,66,58,61.7,71.9,31,1
1,12,69.5,61,63,59,69.7,67.8,18,1
1,10,61.9,62,59,57,74.7,60.2,34,0
1,6,47.4,51,49,57,44.7,45.7,13,1
1,17,92.6,60,65,56,91.7,90.7,6,1
99,7,56.3,54,62,59,56.7,54.6,62,1
1,12,79.2,50,55,53,78.7,77.5,9,0
99,4,54.3,57,65,60,55.7,52.6,40,1
1,11,62.6,48,50,51,63.7,60.9,6,0
1,3,38.6,58,50,58,50.7,36.9,23,1
99,4,57.3,66,64,58,56.7,55.6,40,1
1,8,62.2,63,65,58,77.7,60.5,79,1
99,16,78.9,61,70,60,72.7,77.2,39,1
1,16,71,50,63,58,84.7,69.3,24,1
99,16,76.4,58,62,53,86.7,74.7,20,1
99,11,70,54,54,60,86.7,68.3,10,0
99,3,36.5,62,50,60,44.7,34.8,50,1
1,13,77.3,52,61,51,76.7,75.6,2,1
1,11,79.6,59,66,56,85.7,77.9,59,1
99,10,73.9,62,66,58,84.7,72.2,40,1
1,14,78.6,64,78,59,85.7,76.9,80,1
99,15,79.6,52,59,51,84.7,77.9,9,0
99,16,79,59,68,54,82.7,77.3,8,1
99,11,80.2,49,58,56,80.7,78.5,35,1
1,12,83,54,62,55,90.7,81.3,34,0
99,8,61.9,59,53,58,77.7,60.2,16,0
1,10,71.8,62,64,57,63.7,70.1,49,1
1,9,60.4,60,55,56,65.7,58.7,29,0
1,13,75.5,52,58,51,70.7,73.8,4,1
99,11,68.5,53,65,54,75.7,66.8,32,1
1,7,48.2,60,59,59,58.7,46.5,45,0
1,14,79.1,56,67,60,75.7,77.4,70,1
99,17,92.2,59,73,56,91.7,90.3,48,1
99,9,60.6,46,46,54,65.7,58.9,4,1
1,14,71.4,57,69,52,72.7,69.7,17,1
1,12,80.6,64,67,55,84.7,78.9,44,1
1,14,73.8,54,62,58,83.7,72.1,56,1
1,11,68.5,66,68,55,75.7,66.8,30,1
99,12,61.5,58,60,60,71.7,59.8,30,1
1,0,68.6,63,65,54,73.7,66.9,20,1
1,0,71.3,61,64,59,83.7,69.6,35,1
99,0,66.5,58,65,60,74.7,64.8,89,1
99,0,82.5,68,73,57,96.7,80.8,49,1
1,0,72.7,64,67,57,77.7,71,56,1
1,14,74.1,62,72,59,63.7,72.4,80,0
1,14,76.8,56,68,55,79.7,75.1,35,1
1,13,65.4,52,62,51,56.7,63.7,4,1
1,2,47.3,58,47,57,50.7,45.6,7,0
99,14,79.3,49,68,56,65.7,77.6,12,1
1,4,45.4,48,44,51,46.7,43.7,2,0
99,14,67.3,59,60,57,65.7,65.6,41,1
99,15,72.7,57,69,60,76.7,71,80,1
1,14,80.6,63,75,54,76.7,78.9,40,1
1,14,85.4,64,75,55,93.7,83.7,50,1
99,7,56.2,58,50,55,71.7,54.5,25,1
99,17,89.3,53,77,58,85.7,87.6,63,1
99,7,72.8,48,61,57,78.7,71.1,20,1
1,17,92.7,52,66,55,91.7,90.8,39,0
1,10,67.1,59,72,59,56.7,65.4,72,1
99,1,41.3,56,53,57,49.7,39.6,21,0
99,10,64.7,58,72,59,60.7,63,80,1
1,8,64.2,58,65,60,78.7,62.5,90,1
99,14,73.6,61,73,60,73.7,71.9,80,1
1,6,59.1,55,56,56,59.7,57.4,36,1
1,13,77.9,56,59,55,81.7,76.2,29,1
1,11,62.9,46,52,51,68.7,61.2,3,0
99,14,74.2,53,56,54,73.7,72.5,16,0
1,6,57,59,58,52,58.7,55.3,12,0
1,6,43.2,57,55,54,42.7,41.5,8,0
1,6,45.4,50,50,58,48.7,43.7,24,0
1,13,74.6,60,66,53,65.7,72.9,15,1
99,6,54.2,58,64,59,52.7,52.5,45,1
1,10,73.6,54,56,53,69.7,71.9,18,0
99,10,63.8,49,60,59,60.7,62.1,54,1
1,10,62.5,58,53,55,79.7,60.8,25,0
99,4,51.9,65,62,54,54.7,50.2,16,1
1,15,67.7,60,58,55,64.7,66,15,0
1,11,73.2,65,73,60,67.7,71.5,79,1
1,11,67.7,55,62,54,55.7,66,24,0
1,15,84.8,53,66,54,76.7,83.1,32,1
1,13,75,60,63,57,75.7,73.3,55,1
1,8,61.4,53,58,56,72.7,59.7,24,0
1,12,74.5,62,71,59,66.7,72.8,26,1
1,13,79.4,60,68,58,87.7,77.7,56,1
99,13,79.4,58,69,53,82.7,77.7,20,1
99,11,56,59,59,56,50.7,54.3,12,0
1,16,88.4,51,66,56,91.7,86.7,42,1
1,10,66.8,56,62,53,66.7,65.1,9,1
1,11,65,62,67,56,74.7,63.3,30,1
1,17,77.6,52,70,58,75.7,75.9,23,0
99,12,59.3,63,57,57,65.7,57.6,13,1
1,15,77.1,53,63,59,78.7,75.4,17,1
1,13,74.9,55,71,54,75.7,73.2,36,1
1,13,72.6,59,62,54,79.7,70.9,23,0
1,14,74.4,51,65,52,68.7,72.7,10,0
1,13,72.9,56,64,57,74.7,71.2,48,1
1,5,55.8,60,57,56,64.7,54.1,30,0
1,13,75.5,65,70,54,85.7,73.8,39,1
1,16,81.7,54,71,57,78.7,80,48,1
1,13,80.4,61,69,59,72.7,78.7,35,1
1,10,71.8,63,71,60,63.7,70.1,59,1
1,5,55.9,68,65,59,54.7,54.2,62,1
1,16,83.4,60,64,55,89.7,81.7,35,1
99,13,58.3,57,56,58,63.7,56.6,47,1
1,11,65.4,62,62,51,74.7,63.7,5,1
99,11,72.8,49,57,54,77.7,71.1,16,1
99,8,64.5,55,62,56,73.7,62.8,42,0
1,11,68.4,65,68,55,70.7,66.7,19,1
99,8,61.8,51,56,57,62.7,60.1,28,0
1,10,74.3,55,67,58,94.7,72.6,63,1
99,13,75.2,60,71,60,85.7,73.5,90,1
1,16,78.2,63,70,59,72.7,76.5,71,1
1,16,87.8,50,63,54,86.7,86.1,12,0
1,12,71.3,53,61,54,75.7,69.6,16,1
1,5,41.1,62,60,57,48.7,39.4,48,0
99,9,60.4,68,71,60,45.7,58.7,69,1
1,14,64.1,56,69,59,59.7,62.4,89,1
1,17,82.6,62,69,53,77.7,80.9,20,1
1,9,58,59,69,60,59.7,56.3,80,1
1,12,83.8,65,78,56,95.7,82.1,59,1
1,10,66.2,45,63,52,66.7,64.5,20,1
1,3,46.3,56,52,55,53.7,44.6,25,0
1,15,67.7,69,76,58,69.7,66,79,1
99,7,68,61,64,54,66.7,66.3,40,0
1,8,66.2,65,69,59,69.7,64.5,72,0
99,3,50.8,60,55,55,60.7,49.1,34,1
1,13,70.4,60,64,60,68.7,68.7,70,1
1,18,90.3,58,73,55,84.7,88.6,29,1
1,11,63.4,58,66,55,58.7,61.7,49,1
99,15,85.3,56,67,55,91.7,83.6,45,1
99,0,72,58,61,57,76.7,70.3,70,1
1,17,92.6,53,67,54,91.7,90.7,8,1
99,13,65.1,47,52,54,76.7,63.4,35,1
99,9,61.1,63,56,55,55.7,59.4,20,1
99,9,68.1,46,49,55,68.7,66.4,14,0
99,6,69.4,53,63,58,78.7,67.7,31,0
1,10,74.4,55,56,56,89.7,72.7,12,1
1,15,75.1,47,54,52,67.7,73.4,4,0
99,7,63.2,63,60,56,59.7,61.5,42,1
99,9,72.7,58,68,58,70.7,71,39,1
1,13,84.3,64,67,57,94.7,82.6,21,1
1,8,47.2,57,51,59,56.7,45.5,35,1
1,9,67.5,57,63,58,58.7,65.8,64,1
1,9,73.3,55,65,54,70.7,71.6,19,0
1,11,61,64,66,57,67.7,59.3,48,1
99,12,54.7,62,56,55,48.7,53,24,0
1,12,73.5,49,57,52,91.7,71.8,20,1
1,11,77.7,52,57,53,74.7,76,18,0
1,7,56.2,60,68,60,56.7,54.5,90,1
1,10,66.4,51,68,60,51.7,64.7,39,0
1,18,90.8,57,76,58,89.7,89.1,15,1
99,8,59.9,62,67,59,61.7,58.2,9,1
99,14,76.7,61,66,52,84.7,75,20,1
1,18,95.7,66,82,55,91.7,93.8,30,1
1,14,74,59,66,58,68.7,72.3,16,0
1,5,44.4,58,47,56,44.7,42.7,6,1
99,8,67.1,66,71,55,69.7,65.4,39,1
99,10,64,60,66,55,60.7,62.3,39,1
1,12,73.6,62,65,56,76.7,71.9,30,1
1,7,49,64,63,57,53.7,47.3,69,1
99,14,60.1,49,53,54,62.7,58.4,20,1
1,15,82.2,55,59,52,85.7,80.5,12,0
1,7,46.1,59,62,59,42.7,44.4,72,1
1,14,80.6,53,63,54,86.7,78.9,23,0
1,11,73.2,54,62,57,67.7,71.5,49,0
1,15,82.4,59,72,55,70.7,80.7,10,1
1,14,64,54,63,57,74.7,62.3,69,1
1,14,69.5,49,64,59,76.7,67.8,35,1
1,9,68,63,62,59,83.7,66.3,53,1
1,5,51.1,61,60,56,52.7,49.4,60,1
1,17,89.1,57,70,56,85.7,87.4,59,1
99,9,70.7,58,59,55,69.7,69,39,1
99,12,84,49,59,54,95.7,82.3,23,1
1,17,84.3,55,69,55,78.7,82.6,19,0
1,11,68.4,49,56,54,80.7,66.7,8,0
1,13,80.1,58,63,54,82.7,78.4,12,0
1,11,63,52,55,56,73.7,61.3,29,0
1,16,67.2,55,67,59,72.7,65.5,72,0
99,12,64.4,53,53,57,77.7,62.7,42,0
1,7,55.6,68,64,60,76.7,53.9,69,1
1,15,87.3,61,80,58,87.7,85.6,72,1
99,9,75.3,62,65,51,81.7,73.6,7,1
99,14,71.2,52,60,55,87.7,69.5,15,0
